Instance	Objective value	Opened sites
ga250a-3	257953	22 35 39 46 57 66 76 86 97 100 105 112 114 116 121 124 126 127 144 154 155 176 192 196 200 207 211 219 223 227 229 237 246 249
ga250a-5	258190	13 17 29 35 40 43 49 55 60 63 79 82 110 126 135 139 150 157 161 174 178 179 198 201 204 208 211 230 232 241 248
ga500c-5	621313	4 75 183 259 360 491
gs500c-3	621204	98 195 216 245 333 429
gs500c-5	623180	22 51 276 355 439 444
ga250a-1	257957	21 32 38 47 53 56 58 84 94 100 101 103 111 129 136 139 144 146 149 150 168 170 175 178 203 204 219 224 234 238 239 250
ga250a-2	257502	11 37 55 62 64 84 88 99 100 103 107 114 115 116 118 132 146 157 158 160 171 191 200 211 213 217 218 221 237 238 240 250
ga250a-4	257987	4 5 7 30 31 37 53 55 69 73 74 75 84 92 93 103 108 115 119 127 129 153 163 168 173 174 188 199 200 203 208 213 219 236 250
ga250b-1	276296	10 56 60 94 106 129 149 150 170 203 219 250
ga250b-2	275141	37 55 88 103 135 141 158 191 211 213 231
ga250b-3	276093	1 18 22 35 39 50 97 192 200 229 246
ga250b-4	276332	5 7 36 56 77 92 124 160 228 236 250
ga250b-5	276404	40 57 79 110 157 161 183 184 208 211 241 246
ga250c-1	334135	100 154 175 231
ga250c-2	330728	45 55 88 99
ga250c-3	333662	22 97 127 138
ga250c-4	332423	5 124 143 188
ga250c-5	333538	74 110 157 247
ga500c-1	621360	127 269 378 403 430
ga500c-2	621464	28 107 212 315 344 456
ga500c-3	621428	68 187 314 326 370 474
ga500c-4	621754	56 97 307 350 436
gs250a-1	257964	4 10 12 25 27 30 47 51 63 71 119 123 126 132 137 143 145 155 161 163 169 176 177 178 203 214 232 234 236 238 245 246 249
gs250a-2	257573	9 24 25 40 43 46 52 74 77 86 87 88 95 96 98 100 101 113 114 120 130 139 154 160 161 165 166 184 191 241 245 250
gs250a-3	257626	9 20 33 34 37 38 55 60 67 69 71 72 91 110 120 121 132 139 144 148 166 172 174 177 187 189 190 199 204 209 223 229 234
gs250a-4	257961	3 20 31 36 46 54 101 102 104 115 118 128 139 143 144 159 160 163 168 179 188 193 195 207 208 217 221 226 233 237
gs250a-5	257896	18 33 36 47 49 60 76 77 89 98 104 114 118 122 124 133 137 156 161 168 172 189 204 207 209 212 213 217 223 227 228 230 235 250
gs250b-1	276761	8 27 47 63 71 113 137 145 170 178 229 232
gs250b-2	275675	25 43 52 69 77 87 120 139 149 160 221 245
gs250b-3	275710	32 55 57 60 67 69 82 166 172 174 210
gs250b-4	276114	13 19 31 35 97 106 139 144 157 177 191 247
gs250b-5	275916	18 36 118 122 124 137 166 172 177 204 209 230
gs250c-1	332935	63 170 176 232
gs250c-2	334630	25 52 83 144
gs250c-3	333000	57 60 69 166
gs250c-4	333158	52 144 157 191
gs250c-5	334635	18 84 114 186
gs500c-1	620041	29 102 112 242 440
gs500c-2	620434	70 286 424 439 495
gs500c-4	620437	96 247 283 316 390
