Instance	Objective value	Opened sites
ga500a-1	511383	22 28 52 59 65 70 73 79 86 90 100 103 111 126 142 152 156 173 177 189 199 205 208 219 221 234 245 246 260 265 269 275 280 299 301 303 313 375 378 397 410 419 430 463 475 486 490 494
ga500a-2	511255	34 51 54 70 84 116 120 122 126 144 155 158 169 177 188 193 195 204 212 213 218 222 223 238 255 289 313 315 321 333 338 345 360 372 391 397 399 401 413 415 437 450 466 470 476 478 485 487 500
ga500a-3	510810	12 33 36 37 44 49 55 65 75 85 88 92 94 96 114 132 145 148 150 166 178 184 185 187 192 196 201 220 241 252 257 278 285 288 290 303 340 364 367 370 375 378 386 393 431 451 474
ga500a-4	511008	18 19 29 35 39 42 43 49 56 65 74 78 102 119 138 140 144 155 188 197 204 214 267 273 280 281 282 293 317 329 340 346 350 360 364 371 377 388 404 411 417 419 430 436 448 456 466 484 496
ga500a-5	511226	4 11 14 22 34 36 38 40 47 51 55 95 100 120 123 125 127 133 155 174 181 183 199 216 229 283 284 301 316 321 326 328 332 336 348 369 371 380 382 387 390 397 399 424 429 487 488 491 497
ga500b-1	538060	34 100 127 153 156 176 184 189 199 236 277 375 378 379 410 430 470
ga500b-2	537850	28 34 51 137 212 213 225 238 241 245 249 268 315 336 338 344 459 478
ga500b-3	537921	36 66 92 94 166 185 187 189 241 290 300 303 326 340 370 393 431 474
ga500b-4	537925	24 138 204 282 293 329 330 343 360 388 396 436 448 451 456 466 484 496
ga500b-5	537482	2 14 55 123 124 135 142 147 181 183 231 258 259 349 360 382 399 414
gs500a-1	511187	6 22 42 53 55 58 94 95 115 116 120 121 126 127 129 144 149 154 164 171 173 212 239 252 270 285 294 300 320 321 327 335 336 343 352 377 379 384 385 389 399 420 426 429 434 442 464 490
gs500a-2	511179	9 50 53 62 70 99 109 110 115 124 168 169 175 185 198 202 204 218 229 233 241 247 269 276 289 290 294 295 301 316 333 335 336 356 358 376 383 394 400 422 426 437 439 453 457 459 460 463 464 470
gs500a-3	511106	7 17 28 38 41 55 65 67 74 84 86 110 117 147 152 153 162 173 212 219 223 244 256 259 269 271 273 287 300 301 308 310 365 369 371 377 381 385 394 401 413 417 421 437 453 456 493 494
gs500a-4	511137	9 10 14 18 56 67 68 84 87 93 95 123 124 136 137 161 165 173 180 189 194 196 202 217 229 231 258 273 277 281 290 350 356 359 363 371 378 380 390 391 435 438 453 458 464 484 490 491 495
